,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
6088,HASTILY FEET (T259) (Retired),NZ,,Bay , Gelding,PPG,746200,0,3,0,19,Darci Brahma,It's All About Her,Langfuhr
6089,SKY FULL OF STARS (T260) (Retired),AUS,,Chestnut , Gelding,PPG,36000,0,0,0,11,Henny Hughes,La Bella Zoccola,Snippets
6090,THIS IS GLADIATOR (T261) (Retired),NZ,,Bay , Gelding,PPG,72450,0,0,1,17,Iffraaj,Starboard Light,Mark Of Esteem
6091,HANG'S DECISION (T262),NZ,8,Bay , Gelding,PPG,8226700,7,8,2,64,Postponed,Bislieri,Encosta de Lago
6092,ALWAYS WONGCHOY (T263) (Retired),NZ,,Bay , Gelding,PPG,174250,0,0,1,17,Savabeel,Mamma Rose,Thorn Park
6093,LION ROCK (T264) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Raise The Flag,Stage Flash,Lake Coniston
6094,GOOD FOR YOU (T265),NZ,7,Bay , Gelding,PPG,6470355,7,7,7,63,Thorn Park,La Serenissime,Machiavellian
6095,MAGIC STAR (T266) (Retired),NZ,,Bay , Gelding,PPG,322050,0,1,1,16,Towkay,De Palio,King of Kings
6096,DOUBLE DOUBLE (T267) (Retired),NZ,,Bay , Gelding,PPG,24150,0,0,0,10,Volksraad,Rita Moreno,King's Chapel
6097,NEW ASIA SUNRISE (T268) (Retired),AUS,,Chestnut , Gelding,PPG,9042950,6,6,6,44,Written Tycoon,Karedane,Danehill Dancer
6098,GOLDEN J WORLDWIDE (T269) (Deregistered),AUS,,Bay , Colt,PP,0,0,0,0,0,Charge Forward,Anakalinka,Anabaa
6099,JUST WONDERFUL (T270) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,2,Pentire,Sunshine Gold,Zabeel
6100,LIUZHOU WARRIOR (T271) (Retired),NZ,,Bay , Gelding,PP,40775,0,0,0,7,Postponed,Danvers,Danzero
6101,VICTORY MAGIC (T272) (Retired),NZ,,Bay , Gelding,PP,9544750,1,6,1,12,Savabeel,Zephyr Song,Danasinga
6102,FANTASTIC FEELING (T273),AUS,8,Brown , Gelding,PP,7093425,6,4,8,49,Show A Heart,Twirling Heights,Spinning World
6103,KING WINSA (T274) (Retired),NZ,,Bay , Gelding,PPG,2090900,4,2,0,23,Alamosa,Sheeza Don,Don Eduardo
6104,MASTER COMMANDER (T275) (Retired),AUS,,Bay , Gelding,PPG,48000,0,0,0,5,All American,Bold Countess,Danzero
6105,KING'S DAGGER (T276) (Retired),AUS,,Bay , Gelding,PPG,96000,0,0,0,5,Dreamscape,Elmira,Timber Country
6106,VORTEX FIRE (T277) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,Exceed And Excel,Jestajewel,Rory's Jester
6107,SOARING WYVERN (T278) (Retired),AUS,,Bay , Gelding,PPG,212800,0,1,0,8,Exceed And Excel,Wood Lane,Sadler's Wells
6108,SUPER DRAGON (T279) (Retired),AUS,,Bay , Gelding,PPG,548000,1,0,1,3,Fastnet Rock,Empress Jade,Encosta de Lago
6109,LE PEGASE (T280) (Retired),AUS,,Bay , Gelding,PPG,1761150,3,2,2,34,Flying Spur,Sunday Lady,Zabeel
6110,WILLIE WAY (T281),AUS,8,Bay , Gelding,PPG,5165420,5,5,5,47,More Than Ready,Dizelle,Zabeel
6111,MUTUAL JOY (T282) (Retired),AUS,,Bay , Gelding,PPG,1799635,3,0,3,30,Snitzel,Trois Couleurs,Carnegie
6112,DRAGON HARMONY (T283) (Retired),AUS,,Chestnut , Gelding,PPG,1272450,2,2,2,27,Testa Rossa,Electric Dreams,Redoute's Choice
6113,DR RACE (T284) (Retired),ITY,,Bay , Gelding,PP,2353460,3,0,3,45,Dr Fong,Sommerflora,Pivotal
6114,HURRICANE KID (T285) (Retired),IRE,,Bay , Gelding,PP,691675,0,2,2,29,Elusive City,Atlantic Slew,Helissio
6115,CITRON SPIRIT (T286) (Retired),IRE,,Bay , Gelding,PP,12418050,6,4,10,42,Invincible Spirit,Citron Presse,Lemon Drop Kid
6116,CHARITY PLENTY (T287) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,17,Bushranger,Start The Music,King's Best
6117,DUTCH WINDMILL (T288) (Retired),IRE,,Bay , Gelding,PP,2161400,4,0,7,45,Dark Angel,Cover Girl,Common Grounds
6118,SHOWING CHARACTER (T289) (Retired),GB,,Bay , Gelding,PP,3028700,4,4,3,50,Showcasing,Lalectra,King Charlemagne
6119,EVERYDAY LETTUCE (T290) (Retired),GB,,Bay , Gelding,PP,0,0,0,0,11,Showcasing,Lucky Dip,Tirol
6120,ACCEPTED (T291) (Retired),IRE,,Chestnut , Gelding,PP,1608450,1,2,1,11,Approve,Birthday Present,Cadeaux Genereux
6121,LETSGOFREE (T292) (Retired),IRE,,Bay , Gelding,PPG,1986890,3,1,3,41,Fast Company,Ramamara,Trans Island
6122,LUCKY EVER (T293) (Retired),NZ,,Bay , Gelding,PP,4435675,4,1,0,18,Keeper,Mumtaz,Cape Cross
6123,COUP D'ETAT (T294) (Retired),NZ,,Bay , Gelding,PPG,50667,0,0,0,5,Battle Paint,Limelight,Deputy Governor
6124,PLANET GIANT (T295) (Retired),NZ,,Bay , Gelding,PPG,1454350,2,3,1,29,Red Giant,Luz,King Cugat
6125,BANGALORE (T296) (Retired),AUS,,Chestnut , Gelding,PP,0,0,0,0,4,Canny Lad,Oh Best Beloved,Elusive Quality
6126,DASHING KING (T297) (Deregistered),AUS,,Brown , Gelding,PP,1543625,2,0,1,12,Dane Shadow,Midnight Queen,Carnegie
6127,LITTLE FANTASY (T298) (Retired),AUS,,Brown , Gelding,PP,1783725,2,1,6,45,Excites,Derrycarna,Woodman
6128,LUCKY ALLOY (T299) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,3,Fastnet Rock,Lucky Diva,Perugino
6129,FUNNY BUDDIES (T300) (Retired),AUS,,Bay , Gelding,PP,880775,1,1,1,24,Sebring,Will Fly,Will Dancer
6130,SUN JEWELLERY (T301) (Retired),AUS,,Chestnut , Gelding,PP,19035200,7,1,1,20,Snitzel,Tan Tat Star,Umatilla
6131,CHARITY GLORY (T302) (Deregistered),AUS,,Chestnut , Gelding,PP,4926225,2,6,6,37,Written Tycoon,Talkin' About,Commands
6132,TIANHUANG (T303) (Retired),AUS,,Brown , Gelding,PPG,959100,2,0,0,10,All American,Miss Victoria,Viscount
6133,SOLAR GAGA (T304) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,5,Bel Esprit,Hypatia,Distant Music
6134,PEOPLE'S KNIGHT (T305) (Retired),AUS,,Bay , Gelding,PPG,9212100,8,3,3,47,Exceed And Excel,Allegra,Dehere
6135,TEAM FORTUNE (T306) (Retired),AUS,,Bay ,,PPG,5584125,5,3,4,41,I Am Invincible,Lucky Beauty,Peintre Celebre
6136,SGT ROCK (T307) (Retired),USA,,Chestnut , Gelding,PP,0,0,0,0,10,More Than Ready,Leo's Pegasus,Fusaichi Pegasus
6137,SAPPHIRE OF PATCH (T308) (Retired),IRE,,Chestnut , Gelding,PP,0,0,0,0,0,Arcano,Biz Bar,Tobougg
6138,WAH MAY FRIEND (T309) (Retired),ITY,,Bay , Gelding,PP,6963075,4,4,1,38,Martino Alonso,Rosemary Girl,Celtic Swing
6139,GLORIOUS SUN (T310) (Retired),GB,,Bay , Gelding,PP,0,0,0,0,9,Medicean,Sweet Cando,Royal Applause
6140,MARVEL HERO (T311) (Retired),IRE,,Black , Gelding,PP,6418325,4,3,4,33,Lord Shanakill,Roskeen,Grand Lodge
6141,WHO'STHEDUDE (T312) (Retired),IRE,,Bay , Gelding,PP,1515200,1,2,2,19,Duke Of Marmalade,Island Dreams,Giant's Causeway
6142,BORNTOACHIEVE (T313) (Retired),AUS,,Bay , Gelding,PP,3339175,3,3,2,40,Bernardini,La Falette,Faltaat
6143,EXCELLENCE (T314) (Retired),NZ,,Chestnut , Gelding,PP,1288300,2,1,1,33,Castledale,Capital Gold,Gold Brose
6144,HAPPILABABY (T315) (Retired),NZ,,Grey , Gelding,PP,4579188,4,3,0,32,Mastercraftsman,Elyzabel,Kaapstad
6145,PURE MOMENTUM (T316) (Retired),NZ,,Chestnut , Gelding,PP,245900,0,1,0,9,Mr Nancho,Famous Rose,Zerpour
6146,STINGER (T317) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,4,Perfectly Ready,Chillies,Wild Rampage
6147,GREAT EAGLE (T318) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Fastnet Rock,Lake Tahoe,Fusaichi Pegasus
6148,GOOD LUCK MAN (T319) (Retired),NZ,,Chestnut , Gelding,PPG,104650,0,0,0,16,Iffraaj,Windsor Walk,Centaine
6149,MASTER STEED (T320) (Retired),AUS,,Bay , Gelding,PPG,840600,1,1,1,16,Onemorenomore,Sienna Star,Choisir
6150,GOLDEN ACE (T321) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Swiss Ace,Goldie Thorn,Thorn Park
6151,LEADING HORSE (T322) (Retired),AUS,,Bay , Gelding,ISG,1873175,2,3,1,11,Commands,Hides,Giant's Causeway
6152,MY FOLKS (T323) (Retired),GB,,Bay , Gelding,ISG,274800,0,1,0,28,Acclamation,Aberavon,Cadeaux Genereux
6153,CIRCUIT KING (T324) (Retired),AUS,,Bay , Gelding,ISG,3941775,2,12,2,35,High Chaparral,Princess Quality,Elusive Quality
6154,MASTER GOLD (T325) (Retired),IRE,,Bay , Gelding,ISG,1377600,2,2,0,10,Mastercraftsman,Flamenco Red,Warning
6155,POLYMER LUCK (T326),NZ,7,Bay ,,ISG,3623210,3,8,4,46,Pins,Savamour,Savabeel
6156,PAKISTAN TREASURE (T327) (Retired),IRE,,Chestnut , Gelding,ISG,0,0,0,0,0,Iffraaj,Princess Mood,Muhtarram
6157,THE PALADIN (T328) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,10,Encosta de Lago,Pretty Proud,Mr Greeley
6158,EQUITY DOCTRINE (T329) (Retired),IRE,,Bay , Gelding,ISG,846900,1,3,0,29,Holy Roman Emperor,Tralanza,Traditionally
6159,MR PICASSO (T330) (Retired),AUS,,Bay , Gelding,ISG,3939580,5,4,1,38,Exceed And Excel,County Mayo,Grand Slam
6160,ACE KING (T331) (Retired),GB,,Bay , Gelding,ISG,3317475,4,2,2,34,Exceed And Excel,Dixie Belle,Diktat
