,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
877,GREAT VICTORY (B419) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,8,Sebring,Fete Fille,Danzero
878,THIS IS CLASS (B420),AUS,5,Bay , Gelding,PPG,4507600,5,2,0,11,So You Think,Pride Of The Class,Volksraad
879,WITNESS HUNTER (B421),AUS,4,Chestnut , Gelding,PPG,1659145,2,0,1,22,Star Witness,Boldina,Flying Spur
880,METRO WINNER (B422) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,All Too Hard,Flavin,Dynaformer
881,WAH MAY PRINCESS (B423),NZ,4,Bay , Gelding,PPG,1637600,3,0,0,9,Swiss Ace,Upgrading,Encosta de Lago
882,TOP MILITARY (B424),NZ,6,Chestnut , Gelding,PP,0,0,0,0,8,Swiss Ace,Encosta de Nacre,Encosta de Lago
883,WICKER (B425),NZ,4,Bay , Gelding,PPG,619875,1,0,0,18,Ocean Park,Spiriting,Montjeu
884,MURRAY'S PARTNERS (B426),NZ,4,Chestnut , Gelding,PPG,610998,0,1,1,12,Towkay,Taatyana,Faltaat
885,OWNERS' STAR (B427),GB,5,Chestnut , Gelding,PP,1614300,1,2,0,16,Farhh,Manila Bay,Halling
886,THIS ONE'S FOR YOU (B428),GB,5,Grey , Gelding,PPG,1653570,1,3,2,20,Lethal Force,Cool Catena,One Cool Cat
887,UNIVERSAL STARS (B429) (Retired),IRE,,Chestnut , Gelding,PPG,0,0,0,0,0,Sea The Stars,Snowfields,Raven's Pass
888,TRIUMPHANT HORSE (B430),AUS,5,Chestnut , Gelding,PP,435600,0,0,1,13,Captain Sonador,Just Hilda,Fusaichi Pegasus
889,CAO CAO (B431) (Retired),AUS,,Bay , Gelding,PP,105800,0,0,1,9,Fastnet Rock,Serenada,Encosta de Lago
890,TANGMERE (B432),NZ,5,Bay , Gelding,PP,1653220,2,1,1,20,Frankel,Our Echezeaux,Zabeel
891,FLYING BONUS (B433),AUS,5,Bay , Gelding,PP,492200,0,0,3,14,Snitzel,Sabanci,Encosta de Lago
892,BRAVE COMMAND (B434) (Retired),AUS,,Brown , Gelding,PPG,32200,0,0,0,6,Commands,Brave And Bold,Timber Country
893,CHAMPION SUPREME (B435),AUS,4,Bay , Gelding,PPG,3842350,4,0,4,20,Denman,Future Choice,Redoute's Choice
894,DIONYSUS COLLIN (B436),AUS,4,Bay ,,PPG,1546530,0,6,2,19,Dream Ahead,Charlety Star,Arena
895,WAYFOONG CHARMER (B437),AUS,5,Brown , Gelding,PPG,1048040,1,2,0,17,Dream Ahead,Salamander Bay,Anabaa
896,HAINAN STAR (B438) (Retired),AUS,,Bay , Gelding,PPG,510600,0,2,1,5,Exceed And Excel,Patronyme,More Than Ready
897,DRAGON REGIMENT (B439) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,9,Golden Archer,Crest Of The Wave,Lion Hunter
898,FOLLOW ME (B440) (Retired),AUS,,Brown , Gelding,PPG,3240450,3,3,0,20,Lope de Vega,Star Over Kansas,Starcraft
899,A SHIN MOBIUS (B441) (Retired),JPN,,Brown , Gelding,PPG,0,0,0,0,0,Eishin Flash,A Shin Silvia,Special Week
900,YOUNG POWER (B442) (Retired),GB,,Bay , Gelding,ISG,0,0,0,0,2,Holy Roman Emperor,Whole Grain,Polish Precedent
901,MEDIC DRAGON (B443) (Retired),IRE,,Bay , Gelding,ISG,0,0,0,0,8,Kodiac,Lilium,Nashwan
902,FORTUNE BUDDY (B444),AUS,5,Brown , Gelding,ISG,0,0,0,0,7,Medaglia d'Oro,Oh Eight Hundred,Diatribe
903,MY DEAR (B445) (Retired),GER,,Bay , Gelding,ISG,55200,0,0,0,13,Soldier Hollow,Astilbe,Monsun
904,MASTER PARADISE (B446) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,0,Charge Forward,Emanday,Redoute's Choice
905,THE GREAT CAMACHO (B447) (Retired),IRE,,Bay , Gelding,ISG,0,0,0,0,0,Camacho,Amistad,Winged Love
906,OUR GREEN (B448),FR,5,Grey , Gelding,ISG,0,0,0,0,13,Shamardal,Light And Airy,Linamix
907,STAR BABY (B449) (Retired),NZ,,Bay , Gelding,ISG,0,0,0,0,0,O'Reilly,Glamouraad,Volksraad
908,HAPPY WINNER (B450),GB,5,Bay , Gelding,ISG,111205,0,0,1,7,Elusive Quality,Ighraa,Tamayuz
909,GALLANT LEGACY (B451),FR,5,Brown , Gelding,ISG,87400,0,0,0,8,Redoute's Choice,Torentosa,Oasis Dream
910,SOCCER MASTER (B452),GER,5,Chestnut , Gelding,ISG,648875,1,0,1,18,Iffraaj,Neuquen,Rock Of Gibraltar
911,AMBITIOUS CHARIOT (B453) (Retired),NZ,,Bay , Gelding,ISG,0,0,0,0,0,Pins,Natural Rhythm,Viking Ruler
912,HIGHRISE STAR (B454) (Retired),GER,,Bay , Gelding,ISG,0,0,0,0,0,Kallisto,Prakasa,Areion
913,MASTER ROMAN (B455),IRE,5,Bay , Gelding,ISG,55200,0,0,0,11,Holy Roman Emperor,Sojitzen,Great Journey
914,SMART LEADER (B456),AUS,5,Bay , Gelding,PP,2166000,1,1,5,24,Delago Deluxe,Aemilee,Grand Lodge
915,ENRICHMENT (B457),AUS,5,Bay , Gelding,PP,5136500,1,5,2,23,Teofilo,Lovingthelimelight,Lemon Drop Kid
916,BLIZZING AWAY (B458) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,5,All Too Hard,Quackquack,Starcraft
917,POWER RACER (B459) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,4,Choisir,Horkins Nancy,Made Of Gold
918,ROYAL RACER (B460),AUS,4,Bay , Gelding,PPG,1371703,1,2,2,19,Dreamscape,Ice Cold Crownie,Beautiful Crown
919,BIG PARTY (B461),AUS,4,Grey , Gelding,PPG,7047850,5,0,0,12,Exceed And Excel,De Groove,Dehere
920,BESTA LUCK (B462),AUS,5,Bay , Gelding,PPG,32200,0,0,0,5,Exceed And Excel,Gabrieli,Red Ransom
921,CHARIZARD (B463),AUS,5,Bay , Gelding,PPG,3546525,3,2,5,23,Onemorenomore,Whatsaname,Ascot Knight
922,SIMPLE ELEGANT (B464),AUS,4,Bay , Gelding,PPG,2237080,3,1,1,12,Pierro,San Cristobel,Fastnet Rock
923,SUNDANCER (B465) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Sebring,Midnight Martini,Street Cry
924,HAPPY GOOD GUYS (B466),AUS,4,Bay , Gelding,PPG,1728318,2,1,2,14,Zoustar,Sunday Chill,Flying Spur
925,SUN SUN FA FA (B467),NZ,4,Bay , Gelding,PP,202400,0,1,0,8,Battle Paint,Gemima,Casual Lies
926,PLAY TO WIN (B468),NZ,5,Bay , Gelding,PP,551190,1,0,0,14,Burgundy,Strictly Time,O'Reilly
927,HANDSOME REBEL (B469),AUS,4,Black , Gelding,PP,988190,0,2,1,20,Denman,London Rebel,Fastnet Rock
928,EXCELLENT HARBOUR (B470) (Retired),AUS,,Chestnut , Gelding,PP,0,0,0,0,0,Helmet,Skidoodle,Encosta de Lago
929,CHEEKY BEE (B471) (Retired),NZ,,Bay , Gelding,PP,55200,0,0,0,16,Niagara,No Reins,Show A Heart
930,WIN WIN (B472),NZ,4,Bay , Gelding,PPG,1918200,2,3,0,14,Casino Prince,Contented,More Than Ready
931,FABULOUS EIGHT (B473),AUS,4,Bay , Gelding,PPG,970595,1,1,2,7,Dream Ahead,Coco Kerringle,Exceed And Excel
932,MOTHER WISHES (B474),NZ,4,Chestnut , Gelding,PPG,0,0,0,0,7,Jimmy Choux,Hey Pretty Katie,Beautiful Crown
933,GLENEALY GENERALS (B475),NZ,4,Grey , Gelding,PPG,1636050,2,0,3,12,Per Incanto,Grey Swallow,Pentire
934,CAMERA FACE (B476) (Deregistered),IRE,,Grey , Gelding,PP,0,0,0,0,3,Literato,Priceless Baby,Peintre Celebre
935,INCREDIBLE (B477),FR,5,Bay , Gelding,PP,0,0,0,0,6,Orpen,Leni Riefenstahl,Mull Of Kintyre
936,CHARITY GO (B478),IRE,5,Chestnut , Gelding,PP,1930500,1,1,3,20,Harbour Watch,Princess Mood,Muhtarram
937,NICE SHOT (B479) (Retired),IRE,,Bay , Colt,PP,0,0,0,0,0,Kodiac,Emma Dora,Medaglia d'Oro
938,JUNEAU PEAK (B480) (Retired),GB,,Bay , Colt,PPG,0,0,0,0,0,Kodiac,Singed,Zamindar
939,NORTHERN EXPRESS (B481) (Retired),FR,,Bay , Gelding,PPG,0,0,0,0,0,Fastnet Rock,Bayargal,Bernstein
940,HEALTHY TREASURE (B482),GB,5,Bay , Gelding,PPG,0,0,0,0,5,Kodiac,Miss Neoki,Alhaarth
941,THE TIN MAN (B801),GB,,Bay , Gelding,VIS,0,0,0,0,0,Equiano,Persario,Bishop Of Cashel
942,THE RIGHT MAN (B802),GB,,Brown , Gelding,VIS,0,0,0,0,1,Lope de Vega,Three Owls,Warning
943,STORMY LIBERAL (B803),USA,,Bay , Gelding,VIS,0,0,0,0,1,Stormy Atlantic,Vassar,Royal Academy
944,LET'S GO DONKI (B804),JPN,,Chestnut , Mare,VIS,370000,0,0,0,1,King Kamehameha,Marutoku,Marvelous Sunday
945,ONCE IN A MOON (B805),JPN,,Bay , Mare,VIS,0,0,0,0,1,Admire Moon,Two Days Notice,Hector Protector
946,LIBRISA BREEZE (B806),GB,,Grey , Gelding,VIS,0,0,0,0,0,Mount Nelson,Bruxcalina,Linamix
947,LIGHTNING SPEAR (B807),GB,,Chestnut , Horse,VIS,0,0,0,0,1,Pivotal,Atlantic Destiny,Royal Academy
948,KARAR (B808),GB,,Bay , Gelding,VIS,0,0,0,0,1,Invincible Spirit,In The Light,Inchinor
949,LANCASTER BOMBER (B809),USA,,Bay , Colt,VIS,759000,0,0,0,1,War Front,Sun Shower,Indian Ridge
950,ROLY POLY (B810),USA,,Bay , Filly,VIS,0,0,0,0,1,War Front,Misty For Me,Galileo
951,DEAUVILLE (B811),IRE,,Bay , Horse,VIS,0,0,0,0,1,Galileo,Walklikeanegyptian,Danehill
952,POET'S WORD (B812),IRE,,Bay , Horse,VIS,500000,0,0,0,1,Poet's Voice,Whirly Bird,Nashwan
953,ROBIN OF NAVAN (B813),FR,,Chestnut , Horse,VIS,0,0,0,0,1,American Post,Cloghran,Muhtathir
954,WAR DECREE (B814),USA,,Bay , Colt,VIS,0,0,0,0,1,War Front,Royal Decree,Street Cry
955,BLOND ME (B815),IRE,,Chestnut , Mare,VIS,0,0,0,0,1,Tamayuz,Holda,Docksider
956,TALISMANIC (B816),GB,,Bay ,,VIS,3960000,0,1,0,1,Medaglia d'Oro,Magic Mission,Machiavellian
957,IDAHO (B817),IRE,,Bay , Colt,VIS,0,0,0,0,0,Galileo,Hveger,Danehill
958,TIBERIAN (B818),FR,,Bay , Horse,VIS,0,0,0,0,1,Tiberius Caesar,Toamasina,Marju
959,CHEMICAL CHARGE (B819),IRE,,Chestnut , Horse,VIS,1356000,0,0,0,2,Sea The Stars,Jakonda,Kingmambo
960,DANEHILL KODIAC (B820),IRE,,Bay , Horse,VIS,0,0,0,0,1,Kodiac,Meadow,Green Desert
961,MAX DYNAMITE (B821),FR,,Bay , Gelding,VIS,360000,0,0,0,1,Great Journey,Mascara,Monsun
962,TOSEN BASIL (B822),JPN,,Dark Bay , Horse,VIS,1800000,0,0,1,1,Harbinger,Careless Whisper,Fuji Kiseki
963,SMART CALL (B823),SAF,,Bay , Mare,VIS,0,0,0,0,1,Ideal World,Good Judgement,Horse Chestnut
964,KISEKI (B824),JPN,,Dark Bay , Colt,VIS,0,0,0,0,1,Rulership,Blitz Finale,Deep Impact
965,EZIYRA (B825),IRE,,Chestnut , Mare,VIS,2000000,0,0,1,1,Teofilo,Eytarna,Dubai Destination
966,AL AIN (B826),JPN,,Bay , Colt,VIS,792000,0,0,0,1,Deep Impact,Dubai Majesty,Essence Of Dubai
967,DANBURITE (B827),JPN,,Dark Bay , Colt,VIS,0,0,0,0,1,Rulership,Tanzanite,Sunday Silence
968,BLUE POINT (B828),IRE,,Bay , Colt,VIS,0,0,0,0,1,Shamardal,Scarlett Rose,Royal Applause
969,FINE NEEDLE (B829),JPN,,Bay , Horse,VIS,912000,0,0,0,2,Admire Moon,Needlecraft,Mark Of Esteem
970,WASHINGTON DC (B830),IRE,,Bay , Horse,VIS,0,0,0,0,0,Zoffany,How's She Cuttin',Shinko Forest
971,MISTER KAOPU (B831),AUS,,Brown , Gelding,VIS,0,0,0,0,1,Redoute's Choice,Fleeting Touch,Touch Gold
972,KRYSTRUMP (B832),NZ,,Chestnut , Gelding,VIS,0,0,0,0,1,New Trumps,Krystal Klear,Straussbrook
973,VICTORY MEGASTAR (B833),GB,,Bay , Gelding,VIS,0,0,0,0,0,Medicean,Bourbon Ball,Peintre Celebre
974,HINCHINLOVE (C001),AUS,5,Bay , Gelding,PP,2594975,1,1,3,22,Hinchinbrook,Wildly Entertained,Forestry
975,FLYING MURTY (C002) (Retired),AUS,,Grey , Gelding,PP,0,0,0,0,5,Murtajill,Wings Of Prey,Hawk Wing
976,FULL OF BEAUTY (C003) (Retired),AUS,,Bay , Gelding,PPG,9539000,6,3,0,16,Darci Brahma,Pennacchio,Align
977,WHAT A LEGEND (C004),AUS,5,Brown , Gelding,PPG,1645330,2,2,0,13,Duporth,What An Impact,More Than Ready
978,BRILLIANT (C005),AUS,5,Bay , Gelding,PPG,805800,1,0,2,11,Encosta de Lago,True Roman,Is It True
979,EXCEL DELIGHT (C006),AUS,4,Bay , Gelding,PPG,1761010,1,5,2,16,Exceed And Excel,Miss Krovanh,Zabeel
980,HIGH REV (C007),AUS,5,Bay , Gelding,PPG,4417100,4,1,6,23,Fastnet Rock,Invest,Dehere
981,MR MAGELLAN (C008),AUS,4,Bay , Gelding,PPG,697450,0,1,4,14,Hinchinbrook,Sister Madrid,Fuji Kiseki
982,HASTA LUEGO (C009) (Retired),AUS,,Bay , Gelding,PPG,32200,0,0,0,4,I Am Invincible,Mariana Sunset,Fantastic Light
983,SPECIAL STARS (C010),AUS,4,Bay , Gelding,PPG,3026130,3,2,0,22,Kuroshio,Love The Moment,Savoire Vivre
984,SUPER KIN (C011),AUS,5,Bay , Gelding,PPG,202400,0,1,0,2,Magic Albert,Arms Wide Open,Encosta de Lago
985,IRON BRAVO (C012) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,8,Magnus,Autumn Belle,Bellotto
986,RIGHT CHOICE (C013),NZ,5,Dark Bay , Gelding,PPG,5790850,5,2,1,16,Mastercraftsman,Grand Belt,O'Reilly
987,KING'S HEROISM (C014) (Retired),AUS,,Bay , Gelding,PPG,32200,0,0,0,4,Moshe,She's A Sure Thing,Not A Single Doubt
988,COURAGEOUS DRAGON (C015),NZ,5,Bay , Gelding,PPG,333045,0,0,2,9,Pins,Somethymesoon,Postponed
989,MISCHIEVOUS SUNDAE (C016),AUS,4,Black , Gelding,PPG,405470,0,1,1,17,Sebring,Elsewhere,Lonhro
990,JIMSON THE DRAGON (C017),AUS,5,Brown , Gelding,PPG,385325,0,0,3,18,Smart Missile,Pyrography,Danzero
991,BLISSFUL EIGHT (C018) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,7,Snitzel,Lovemelikearock,Fastnet Rock
992,BUDDIES (C019),AUS,4,Brown , Gelding,PPG,4436900,4,3,2,14,So You Think,Gladwell,Anabaa
993,DANEHILL JADE (C020) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Star Witness,Trading Halt,Econsul
994,SPICY REALLY (C021),AUS,4,Chestnut , Gelding,PPG,33845,0,0,0,11,Toorak Toff,Meet My Sis,Prized
995,MULTIMILLION (C022),AUS,5,Bay , Gelding,PPG,4636250,5,2,2,17,Tycoon Ruler,Get A Life,Sequalo
996,AURORA STEED (C023),AUS,4,Chestnut , Gelding,PPG,203000,0,1,0,10,Unencumbered,Miss Meerkat,Catbird
997,NICCONI EXPRESS (C024),NZ,5,Bay , Gelding,PP,3228150,2,2,1,10,Nicconi,Rhandara,Redoute's Choice
998,HARDLY SWEARS (C025),AUS,5,Bay , Gelding,PPG,2182630,3,0,1,7,All Too Hard,Sworn To Secrecy,Keeper
999,YICHUN BLITZ (C026),AUS,5,Bay , Gelding,PPG,680800,0,2,2,10,Charge Forward,Midnight Reigns,Holy Roman Emperor
1000,PERFECT PAIR (C027),NZ,5,Bay , Gelding,PPG,1375150,2,0,1,13,Darci Brahma,Minori Express,Green Line Express
1001,TORNADO TWIST (C028),AUS,4,Brown , Gelding,PPG,5991450,4,3,2,16,Denman,More Glory,More Than Ready
1002,SPLENDOUR AND GOLD (C029),AUS,5,Chestnut , Gelding,PPG,2818450,4,0,1,11,Excelebration,Further,More Than Ready
1003,COOLCELEB (C030),AUS,4,Bay , Gelding,PPG,1489090,2,1,1,19,Foxwedge,Celebrity Appeal,One Cool Cat
1004,PRINCE OF GEMS (C031),AUS,5,Bay , Gelding,PPG,1077290,1,2,0,7,I Am Invincible,Rivers Secret,Flying Spur
1005,MR DARTHVEGAR (C032) (Retired),AUS,,Bay ,,PPG,234600,0,1,0,7,Lope de Vega,She's Due,Devil His Due
1006,NEW DYNAMIC (C033) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,4,Poet's Voice,Distinctive Dane,Danewin
1007,BULLISH BROTHER (C034),AUS,4,Bay , Gelding,PPG,1334520,1,3,2,19,Reward For Effort,Stream Royale,Royal Academy
1008,REGENCY GEM (C035),NZ,5,Bay , Gelding,PPG,1016240,1,2,2,19,Showcasing,The Myth,Cape Cross
1009,LORIZ (C036),AUS,4,Bay , Gelding,PPG,2152990,3,1,1,19,Smart Missile,Negotiate,Red Ransom
1010,INVINCIBLE MISSILE (C037),AUS,4,Bay , Gelding,PPG,4107300,3,5,2,16,Smart Missile,Phaedra,Hussonet
1011,I DO (C038),AUS,5,Bay , Gelding,PPG,1693550,1,3,2,16,So You Think,Redoutebelle,Redoute's Choice
1012,AUTHENTIC CHAMP (C039),AUS,4,Chestnut , Gelding,PPG,0,0,0,0,1,Star Witness,Considerable,Casino Prince
1013,AIOLOS (C040) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,6,Super Easy,Scrutiny,Exceed And Excel
1014,CRAIG'S STAR (C041),AUS,4,Bay ,,PPG,2740150,2,4,0,15,Your Song,Little Less Lip,Blevic
1015,CALIFORNIA ARGENT (C042),IRE,5,Bay , Gelding,PP,412450,0,0,2,13,Kendargent,Full Snow Moon,Vindication
1016,SAVVY SURGE (C043) (Deregistered),FR,,Bay , Gelding,PP,0,0,0,0,0,Panis,Alliance d'Or,Linngari
1017,CAMFORD MASTER (C044) (Retired),FR,,Bay , Gelding,PPG,0,0,0,0,0,Big Bad Bob,Late Rosebud,Jeremy
1018,EXCEL LAD (C045) (Retired),FR,,Bay , Gelding,PPG,0,0,0,0,0,Redoute's Choice,Mazaya,Sadler's Wells
1019,SHINEALOT (C046),FR,5,Bay , Gelding,PPG,434080,0,1,2,14,Siyouni,Doubrovska,Vettori
1020,WILLFUL (C047),GB,4,Bay , Gelding,PPG,0,0,0,0,8,Garswood,Delta Diva,Victory Gallop
1021,WINNING ENDEAVOUR (C048),IRE,6,Chestnut , Gelding,PP,1295694,1,1,1,17,Casamento,Nesmeh,More Than Ready
1022,CLASSIC BEAUTY (C049) (Retired),IRE,,Bay , Gelding,PP,1802050,1,2,2,18,Elzaam,Big Swifty,Intikhab
1023,PRECIOUSSHIP (C050),IRE,5,Bay , Gelding,PP,4607000,4,1,0,16,Iffraaj,Riyaba,Dalakhani
1024,CENTENARY ERIN (C051) (Retired),IRE,,Bay , Gelding,PPG,0,0,0,0,0,Intense Focus,Tus Nua,Galileo
1025,PRECIOUS AMBER (C052) (Retired),IRE,,Bay , Gelding,PPG,0,0,0,0,0,Maxios,Bernsteinkuste,Bernstein
1026,REWARDING SHINE (C053) (Retired),IRE,,Bay , Gelding,PPG,0,0,0,0,1,Xtension,Subtle Affair,Barathea
1027,GLORIOUS SPECTRUM (C054),GB,5,Bay , Gelding,PP,1544250,0,3,1,6,Helmet,Mara Spectrum,Spectrum
1028,STRATHBARRA (C055) (Retired),SAF,,Bay , Gelding,PPG,0,0,0,0,4,Elusive Fort,Double Bluff,Kahir Almaydan
1029,EZRA (C056),SAF,4,Grey , Gelding,PPG,1210140,1,2,1,13,Oratorio,Emerald Beauty,Equalize
1030,BEAUTY ICON (C057),AUS,4,Bay , Gelding,PP,316550,0,0,1,14,Epaulette,Flying Jet,Jet Spur
1031,SHINING GEM (C058),AUS,4,Bay , Gelding,PP,3264750,3,1,1,16,Makfi,Raneen,Perfectly Ready
1032,AMAZING CHOCOLATE (C059),AUS,5,Bay , Gelding,PP,903090,1,1,0,16,Sepoy,Nanda Kot,Encosta de Lago
1033,BRIGHT KID (C060),AUS,5,Bay , Gelding,PP,999150,1,0,0,21,Show A Heart,Exedra,Redoute's Choice
1034,CHAMPION'S WAY (C061),AUS,4,Bay , Gelding,PPG,10888750,6,2,2,13,Hinchinbrook,Greta's Yarn,Redoute's Choice
1035,CHAIRMAN LO (C062),AUS,4,Grey , Gelding,PPG,1971765,1,5,2,16,Sidereus,Saluting,Ferocity
1036,FIONN SPIRIT (C063) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Sizzling,Crystal Diamonds,Commands
1037,BLOOMING SPIRIT (C064),AUS,4,Bay , Gelding,PPG,1669293,2,2,2,16,Spirit Of Boom,Pheebles,Encosta de Lago
1038,HAPPY ALUMNI (C065),AUS,4,Chestnut , Gelding,PPG,1827905,1,3,2,14,Starcraft,Attilia,Tiger Hill
1039,BRAVE BABY (C066) (Retired),AUS,,Bay , Gelding,PPG,1101045,1,2,1,17,Stratum,Rosmarino,Langfuhr
1040,MERIDIAN GENIUS (C067),AUS,4,Grey , Gelding,PPG,2882090,2,5,0,11,Unencumbered,More Than Pronto,More Than Ready
1041,THUNDERBUG (C068) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Written Tycoon,Fastfilly,Royal Academy
1042,PACKING WARRIOR (C069) (Retired),GER,,Bay , Gelding,PP,661900,0,1,0,14,Dabirsim,Next Holy,Holy Roman Emperor
1043,HIDDEN BLITZ (C070) (Retired),GB,,Bay , Gelding,PP,0,0,0,0,1,Equiano,Love Action,Motivator
1044,KINGS SHIELD (C071),USA,5,Brown , Gelding,PP,1581600,1,1,1,12,Scat Daddy,Gender Dance,Miesque's Son
1045,TATTENHALL FORTUNE (C072) (Retired),GB,,Bay , Gelding,PPG,33845,0,0,0,5,Bated Breath,Greenmeadow,Sure Blade
1046,NORTHERN SUPERSTAR (C073),SAF,6,Bay , Gelding,PP,1254000,0,0,0,8,Count Dubois,Pagan Dance,Jet Master
1047,THE SUN ALSO RISES (C074) (Deregistered),SAF,,Bay , Gelding,PP,0,0,0,0,1,Trippi,Hawker Hunter,Jet Master
1048,DARK DREAM (C075),AUS,5,Brown , Gelding,PP,9378000,2,1,2,15,All American,Buchanan Girl,Lion Hunter
1049,CALIFORNIAGOLDRUSH (C076) (Retired),AUS,,Brown , Gelding,PP,158700,0,0,1,1,Dream Ahead,Viognier,Fantastic Light
1050,CALIFORNIA TURBO (C077),AUS,5,Bay , Gelding,PP,1581950,1,1,1,20,Fastnet Rock,Celebria,Peintre Celebre
1051,STAR OF THEHARBOUR (C078),AUS,4,Bay , Gelding,PP,33845,0,0,0,9,Harbour Watch,Renascent,Domesday
1052,FURORE (C079),NZ,5,Bay , Gelding,PP,26334000,2,2,1,14,Pierro,Stormy Choice,Redoute's Choice
1053,JOLLY HONOUR (C080),NZ,5,Chestnut , Gelding,PP,2282950,2,0,3,19,Reliable Man,Vexed,Ferocity
1054,COPY BOY (C081) (Deregistered),AUS,,Bay , Gelding,PP,0,0,0,0,0,Reward For Effort,Minnie Deal,Street Cry
1055,HONG KONG BET (C082),AUS,4,Bay , Gelding,PP,2566300,2,1,2,10,Smart Missile,Dublin Me Bet,O'Reilly
1056,BEST SENSE (C083) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,2,Squamosa,Lady Of The Valley,Bigstone
1057,TASHIDELEK (C084),AUS,5,Brown , Gelding,PP,1672150,0,3,4,17,Street Cry,Sesenta,Encosta de Lago
1058,GOLDEN TURBO (C085) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,6,Best Choice,Crystal Baby,Zabeel
1059,ARRIBA ARRIBA (C086) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Denman,Rough Chance,Rock Of Gibraltar
1060,CASA GLORY (C087) (Retired),AUS,,Bay , Gelding,PPG,55200,0,0,0,1,Fastnet Rock,Avienus,Reset
1061,ISLAND WINNER (C088),AUS,4,Brown , Gelding,PPG,590500,1,0,1,14,Foxwedge,Iltizaam,Exceed And Excel
1062,FAMILY LEADER (C089),NZ,5,Bay , Gelding,PPG,1680640,1,3,3,22,Makfi,Egeria,Daylami
1063,DYNASTA (C090) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,6,Redoute's Choice,Silver Blossom,Galileo
1064,VICTORIOUS SEEKER (C091),AUS,4,Brown , Gelding,PPG,982375,1,2,3,13,Sebring,Prostar,Starcraft
1065,GUN GUN WIN (C092),AUS,5,Bay , Gelding,PPG,0,0,0,0,5,Star Witness,Extremis,Flying Spur
1066,SPEEDY VIEW (C093) (Retired),NZ,,Chestnut , Gelding,PP,0,0,0,0,0,Haradasun,Week Moment,Monolith
1067,MIGHTY POWER (C094),NZ,5,Bay , Gelding,PP,0,0,0,0,9,Power,Silvara,Danehill Dancer
1068,NOT USUAL TALENT (C095),NZ,5,Bay , Gelding,PP,5593000,3,3,2,17,Zacinto,Compact Pussycat,Al Akbar
1069,LITTLE GENERAL (C096),NZ,4,Bay , Gelding,PPG,737185,0,2,1,16,Cape Blanco,Tuesday's Child,Zabeel
1070,BLADE RACER (C097),NZ,4,Bay , Gelding,PPG,468450,1,0,0,11,Guillotine,Karenza,Falkirk
1071,VOYAGE STAR (C098),NZ,4,Bay , Gelding,PPG,1305590,2,0,0,16,Guillotine,Next Century,Stravinsky
1072,CHICKEN DANCE (C099),AUS,4,Bay , Gelding,PPG,1553300,2,1,0,4,Hinchinbrook,Mallard,Falkirk
1073,HAPPY BOYBOY (C100) (Retired),NZ,,Bay , Gelding,PPG,55200,0,0,0,4,Husson,Leveller,Redoute's Choice
1074,TRIUMPHANT LORD (C101),NZ,4,Brown , Gelding,PPG,228375,0,1,0,13,Jimmy Choux,Selenus,Pentire
1075,EIGHT TRIGRAMS (C102),AUS,4,Bay , Gelding,PPG,1270265,1,3,0,14,Magnus,Demandehere,Dehere
1076,VICTORY IN HAND (C103),NZ,4,Brown , Gelding,PPG,1465130,2,0,1,11,O'Reilly,Splitsecond,Pins
1077,MAX GLENEALY (C104) (Deregistered),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Pins,Grande Ballare,Giant's Causeway
1078,CAPTAIN FANTASTIC (C105) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,2,Power,Wanaka,Green Perfume
1079,GOLDEN MISSION (C106),NZ,4,Brown , Gelding,PPG,308870,0,0,2,9,Rock 'N' Pop,Aimee's Idol,Colombia
1080,HELIOS (C107) (Retired),NZ,,Grey , Gelding,PPG,0,0,0,0,0,Rock 'N' Pop,Vanilla Sky,O'Reilly
1081,WONDERFUL DAY (C108) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,1,Savabeel,La Praline,Anabaa
1082,DOR DOR (C109),NZ,4,Bay , Gelding,PPG,2261745,2,3,4,23,Shamexpress,Queen Of Avalon,Montjeu
